_id,RECORD ID,RECORD NAME,DATE OPENED,RECORD MODULE,RECORD STATUS,RECORD STATUS DATE,ADDRESS,BALANCE DUE,DATE ASSIGNED,DATE CLOSED,DATE COMPLETED,DESCRIPTION,JOB VALUE,RECORD TYPE GROUP,RECORD TYPE CATEGORY,RECORD TYPE TYPE,RECORD TYPE SUBTYPE,STATUS,APN,LICENSE NBR,BUSINESS NAME
47,CODE-14-0688,4564 Homestead Drive,2014-06-12T00:00:00.000,Enforcement,In Progress,2014-06-17T08:57:16.000,"4564 HOMESTEAD DR, SOUTHLAKE, TX 76092",0,2014-06-12T00:00:00.000,"","",Found an old email (11/26/2013) that was sent to Susie Hernandez our Deputy Building Official by Margaret Vyers of DCAD that this property owner has appeared to have done and addition and she was looking to see if a permit was issued.,"",Enforcement,NA,Work Without a Permit,NA,In Progress,00075--8R,"",""
5,CODE-14-0646,1780 Sunshine Lane,2014-06-06T00:00:00.000,Enforcement,In Progress,2014-06-10T10:03:08.000,"1780 SUNSHINE LN, SOUTHLAKE, TX 76092",0,2014-06-06T00:00:00.000,"","",Reported that this job site is not being maintained.,"",Enforcement,NA,Tall Grass and Weeds,NA,In Progress,00376--3A01F2,"",""
2,CODE-14-0645,2107 Greenbriar Drive,2014-06-06T00:00:00.000,Enforcement,Noticed,2014-06-06T00:00:00.000,"2107 GREENBRIAR DR, #SHELL, SOUTHLAKE, TX 76092",0,2014-06-06T00:00:00.000,"","","Business complex has a ""For Lease"" sign that does not comply to the sign ordinance.  The sign is red and white.  There is also a trailer that is parked/stored on the grass.","",Enforcement,NA,Signs,Other,Noticed,00126-C-3,"",""
3,CODE-14-0643,1900 Greenwood Drive,2014-06-06T00:00:00.000,Enforcement,Noticed,2014-06-10T00:00:00.000,"1900 GREENWOOD DR, SOUTHLAKE, TX 76092",0,2014-06-06T00:00:00.000,"","",Empty lot for sale has high grass/weeds.,"",Enforcement,NA,Tall Grass and Weeds,NA,Noticed,00126-A-7,"",""
48,CODE-14-0689,2905 W. Southlake Blvd.,2014-06-12T00:00:00.000,Enforcement,In Progress,2014-06-17T10:36:03.000,"2905 W SOUTHLAKE BLVD, SOUTHLAKE, TX 76092",0,2014-06-12T00:00:00.000,"","",Reported that there was a house fire at this property and nothing has been done to it.,"",Enforcement,NA,Property Maintenance Code,NA,In Progress,00322--4J,"",""
460,CODE-14-1101,"",2014-07-31T00:00:00.000,Enforcement,In Progress,2014-07-31T08:58:18.000,"1421 SANDSTONE CT, SOUTHLAKE, TX 76092",0,"","","","ED, 7/31/2014 5:51:00, sprinklers irrigating driveway causing excessive runoff water waste","",Enforcement,NA,Water Restriction,NA,In Progress,00244-5-8,"",""
1,CODE-14-0642,575 Commerce St. (Belatrino's),2014-06-10T00:00:00.000,Enforcement,Closed,2014-06-10T00:00:00.000,"575 COMMERCE ST, SOUTHLAKE, TX 76092",0,2014-06-06T00:00:00.000,2014-06-10T00:00:00.000,"",Reported that Belatrino's are washing out their food trucks with food particals all over the parking lot.,"",Enforcement,NA,Health and Sanitation,NA,Closed,00309-A-7R,"",""
320,CODE-14-0955,"",2014-07-14T00:00:00.000,Enforcement,In Progress,2014-07-14T10:27:56.000,"706 SUTTON MILL CT, SOUTHLAKE, TX 76092",0,"","","","KF, Mon 7/14/2014 6:15:00Watering front yard on Monday.","",Enforcement,NA,Water Restriction,NA,In Progress,00119-4-17,"",""
471,CODE-14-1112,"",2014-08-01T00:00:00.000,Enforcement,In Progress,2014-08-01T08:19:48.000,"2709 BROOKSHIRE DR, SOUTHLAKE, TX 76092",0,"","","","ED, 8/1/2014 5:12:00, sprinklers running in front flower beds wrong day.","",Enforcement,NA,Water Restriction,NA,In Progress,00280-1-13,"",""
8,CODE-14-0649,"",2014-06-10T00:00:00.000,Enforcement,In Progress,2014-06-10T10:58:12.000,"175 CREEKWAY BEND, SOUTHLAKE, TX 76092",0,"","","","JT, Tues 6/10 at 5:30a, front sprinklers on right side running","",Enforcement,NA,Water Restriction,NA,In Progress,00234-7-10,"",""
